"n","p","test","R_time","time_median","time_p10","time_p90","mem_median","mcse_time"
500,8,"Osius-Rojek",30,0.00228290000018205,0.00147815000011633,0.00313660000001619,190592,0.00018115792048204
1000,8,"Osius-Rojek",30,0.00280015000009826,0.00122169000012491,0.00377472000013768,378592,0.000285978448338052
2000,8,"Osius-Rojek",30,0.0037896000001183,0.00147961000006944,0.00497339000035026,754592,0.00036605113603829
5000,8,"Osius-Rojek",30,0.00337865000005877,0.00205047000008563,0.00474422000020241,1882592,0.000354447224515158
10000,8,"Osius-Rojek",30,0.00462855000000673,0.0030448500001512,0.00717455000012706,3762592,0.000584200825479337
20000,8,"Osius-Rojek",30,0.00874640000017735,0.00623847000013029,0.016174950000277,7522592,0.000916155775954978
50000,8,"Osius-Rojek",10,0.0150502500000585,0.0105088100002604,0.0335290300002498,18802592,0.00505961924716623
200,16,"Osius-Rojek",30,0.00224440000022241,0.00198546000021906,0.00354969000009078,117360,0.000208925729612639
500,16,"Osius-Rojek",30,0.00245295000013357,0.0014915800001063,0.00333576000023186,287760,0.00012421215882251
1000,16,"Osius-Rojek",30,0.00347070000020722,0.00164790999995148,0.0124035900001672,571760,0.000887832149645641
2000,16,"Osius-Rojek",30,0.00440244999992956,0.00199169000022721,0.0062145199999577,1139760,0.0004399175242639
5000,16,"Osius-Rojek",30,0.00543910000021697,0.00299547000010989,0.00664753000000928,2843760,0.000452478052694015
10000,16,"Osius-Rojek",30,0.00839560000008532,0.00543935000023339,0.0106227700001227,5683760,0.00294612617584301
20000,16,"Osius-Rojek",30,0.0146806500000594,0.00856505000028847,0.0270049700002118,11363760,0.0013207775938926
50000,16,"Osius-Rojek",10,0.0340327500001649,0.029565100000309,0.0390754600001628,28403760,0.00137441663955713
200,32,"Osius-Rojek",30,0.00286980000009862,0.00188410999996904,0.00387391000001572,202960,0.000141148566844401
500,32,"Osius-Rojek",30,0.00339805000010074,0.0021139000000403,0.00598349999993389,488560,0.000342994289575634
1000,32,"Osius-Rojek",30,0.00536315000022114,0.00266317000005074,0.0075212500000589,964560,0.000341780159951702
2000,32,"Osius-Rojek",30,0.00631540000017594,0.00324400000019977,0.00776119000004201,1916560,0.00053196956305396
5000,32,"Osius-Rojek",30,0.00952235000011115,0.00723907000019608,0.0108575200001951,4772560,0.000429648970002308
10000,32,"Osius-Rojek",30,0.016384200000175,0.0107258899999124,0.0249300400001402,9532560,0.000924277552655187
20000,32,"Osius-Rojek",30,0.0341063500002292,0.0205035200001703,0.0450516300001709,19052560,0.00204006134682577
50000,32,"Osius-Rojek",10,0.0794259500000862,0.0613914699998076,0.128386570000293,47612560,0.0161126148415091
200,4,"Pigeon-Heyse",30,0.00250640000024304,0.00209558000015022,0.00325156000021707,45792,0.000183311648372971
500,4,"Pigeon-Heyse",30,0.00276500000018132,0.00159985000018423,0.00597544000011112,107568,0.000371430772876755
1000,4,"Pigeon-Heyse",30,0.00374170000020513,0.00172807000005832,0.00455820000017866,209760,0.000274747685888248
2000,4,"Pigeon-Heyse",30,0.00457835000008799,0.00193165000014232,0.00723762000013721,414144,0.000626105408272619
5000,4,"Pigeon-Heyse",30,0.00368565000019316,0.00242576000009649,0.0044366300001684,1076448,0.000301980489924417
10000,4,"Pigeon-Heyse",30,0.0051309000002675,0.00351077000020724,0.00645714000008865,2147520,0.000227184813948512
20000,4,"Pigeon-Heyse",30,0.0073106000000962,0.00511572000007163,0.0118797000003042,4289664,0.000522056176872709
50000,4,"Pigeon-Heyse",10,0.011870700000145,0.0110845500003052,0.0147920000001023,10453952,0.000532311294764899
200,8,"Pigeon-Heyse",30,0.00269220000006954,0.00172253000021101,0.00390112000004593,52464,0.000230463510094176
500,8,"Pigeon-Heyse",30,0.00281740000025366,0.00173995000013747,0.00413873000018157,123840,0.00018608059079162
1000,8,"Pigeon-Heyse",30,0.0035913500001925,0.00176580000006652,0.00533312000027309,242032,0.000272760335762721
2000,8,"Pigeon-Heyse",30,0.00487820000012106,0.00181934000006549,0.00805941000000985,478416,0.000639586795424438
5000,8,"Pigeon-Heyse",30,0.00378245000024436,0.0023358800001688,0.0057952100000648,1236720,0.000247503629478451
10000,8,"Pigeon-Heyse",30,0.00540195000030508,0.00343007000017223,0.00866131000011592,2467792,0.000416882241271239
20000,8,"Pigeon-Heyse",30,0.00888875000009648,0.00534311000008074,0.0112836900001184,4929936,0.000646268568087047
50000,8,"Pigeon-Heyse",10,0.0123104000000467,0.0101087900001175,0.0231476100002282,12054224,0.00880630207235254
200,16,"Pigeon-Heyse",30,0.00281475000008413,0.00215764000029139,0.00418503000009877,66368,0.000208217765683279
500,16,"Pigeon-Heyse",30,0.00315480000017488,0.00198862000002009,0.00421286000016608,156944,0.00022465452766345
1000,16,"Pigeon-Heyse",30,0.00439875000017764,0.00187943000003088,0.00995393000007426,307136,0.00106668034837063
2000,16,"Pigeon-Heyse",30,0.00445440000021336,0.00191253000020879,0.00844861000020956,607520,0.000397764949172134
5000,16,"Pigeon-Heyse",30,0.00471390000029714,0.00334002000029159,0.00637792000011359,1557824,0.000332394921751698
10000,16,"Pigeon-Heyse",30,0.00632160000009207,0.00422249000016564,0.00900794000024235,3108896,0.000482128174917683
20000,16,"Pigeon-Heyse",30,0.00975835000008373,0.00671187000014015,0.0158191200001283,6211040,0.000784264853536373
50000,16,"Pigeon-Heyse",10,0.014921650000133,0.0117841800001542,0.0186673100000462,15255328,0.0010733435761567
200,32,"Pigeon-Heyse",30,0.00330585000017436,0.00210544000010486,0.00403245999993942,99424,0.000131772276316753
500,32,"Pigeon-Heyse",30,0.00352430000020832,0.00219406000019262,0.00490117000006194,228400,0.000300740305303708
1000,32,"Pigeon-Heyse",30,0.00499515000012707,0.0022939400001178,0.00802221000017198,442592,0.00056781044919082
