"family","n","G","test","alpha","null_size","mcse","size_ok"
"binint",1000,10,"EF",0.01,0.0092,0.000954743944730732,TRUE
"binint",1000,10,"EF",0.05,0.0451,0.00207523468552354,TRUE
"binint",1000,10,"EF",0.1,0.0945,0.00292523076012816,TRUE
"binint",1000,10,"HL",0.01,0.0089,0.000939190608982011,TRUE
"binint",1000,10,"HL",0.05,0.0455,0.0020839805661282,TRUE
"binint",1000,10,"HL",0.1,0.0951,0.00293353012597451,TRUE
"binint",1000,10,"HL-equalwidth",0.01,0.0111,0.00104770177054351,TRUE
"binint",1000,10,"HL-equalwidth",0.05,0.0538,0.00225622605250449,TRUE
"binint",1000,10,"HL-equalwidth",0.1,0.1025,0.00303304714767179,TRUE
"binint",1000,10,"Pigeon-Heyse",0.01,0.0047,0.000683952483729681,FALSE
"binint",1000,10,"Pigeon-Heyse",0.05,0.0281,0.00165258554997918,FALSE
"binint",1000,10,"Pigeon-Heyse",0.1,0.0598,0.00237115921017548,FALSE
"binint",1000,10,"Stukel",0.01,0.0209,0.00143049606780305,FALSE
"binint",1000,10,"Stukel",0.05,0.0666,0.00249327976769555,FALSE
"binint",1000,10,"Stukel",0.1,0.1128,0.00316348162630985,FALSE
"binint",1000,10,"Tsiatis",0.01,0.0084,0.000912657657613193,TRUE
"binint",1000,10,"Tsiatis",0.05,0.0528,0.00223633986683599,TRUE
"binint",1000,10,"Tsiatis",0.1,0.1048,0.00306295543552302,TRUE
"binint",1000,10,"Xie",0.01,0.0055,0.000739577582137263,FALSE
"binint",1000,10,"Xie",0.05,0.0325,0.00177323856263053,FALSE
