"n","p","test","rep","seed","time_sec","mem_bytes","glm_iter","refit_iter","refit_converged","n_events","event_rate"
200,4,"Pulkstenis-Robinson",16,20360722,0.00208770000017466,85160,4,NA,NA,94,0.47
200,4,"Pulkstenis-Robinson",17,20360723,0.00254150000023401,85160,4,NA,NA,108,0.54
200,4,"Pulkstenis-Robinson",18,20360724,0.00206760000014583,85160,4,NA,NA,91,0.455
200,4,"Pulkstenis-Robinson",19,20360725,0.00275070000020605,85160,4,NA,NA,109,0.545
200,4,"Pulkstenis-Robinson",20,20360726,0.00267670000016551,85160,4,NA,NA,96,0.48
200,4,"Pulkstenis-Robinson",21,20360727,0.00234770000020035,85160,4,NA,NA,107,0.535
200,4,"Pulkstenis-Robinson",22,20360728,0.0021118000001934,85160,4,NA,NA,111,0.555
200,4,"Pulkstenis-Robinson",23,20360729,0.00204000000030646,85160,4,NA,NA,102,0.51
200,4,"Pulkstenis-Robinson",24,20360730,0.00246600000014041,85096,4,NA,NA,102,0.51
200,4,"Pulkstenis-Robinson",25,20360731,0.00252470000009453,85160,4,NA,NA,113,0.565
200,4,"Pulkstenis-Robinson",26,20360732,0.00214800000003379,85160,4,NA,NA,86,0.43
200,4,"Pulkstenis-Robinson",27,20360733,0.00331190000019888,85096,3,NA,NA,107,0.535
200,4,"Pulkstenis-Robinson",28,20360734,0.00266430000033324,85096,4,NA,NA,95,0.475
200,4,"Pulkstenis-Robinson",29,20360735,0.00218749999999091,85160,4,NA,NA,94,0.47
200,4,"Pulkstenis-Robinson",30,20360736,0.00194910000027448,85096,3,NA,NA,108,0.54
200,4,"le-Cessie",1,20360707,0.0232445999999982,5501632,4,NA,NA,91,0.455
200,4,"le-Cessie",2,20360708,0.0204969999999776,5501632,4,NA,NA,96,0.48
200,4,"le-Cessie",3,20360709,0.0239376999998058,5501632,4,NA,NA,104,0.52
200,4,"le-Cessie",4,20360710,0.024210800000219,5501632,4,NA,NA,103,0.515
200,4,"le-Cessie",5,20360711,0.0204836000002615,5501632,4,NA,NA,90,0.45
200,4,"glm_fit",1,20360707,0.00235730000031253,422040,4,NA,NA,91,0.455
200,4,"glm_fit",2,20360708,0.00200700000027609,422040,4,NA,NA,96,0.48
200,4,"glm_fit",3,20360709,0.00226549999979397,422040,4,NA,NA,104,0.52
200,4,"glm_fit",4,20360710,0.00231500000018059,422040,4,NA,NA,103,0.515
200,4,"glm_fit",5,20360711,0.00230929999997898,422040,4,NA,NA,90,0.45
200,4,"glm_fit",6,20360712,0.0019064000000526,422040,4,NA,NA,88,0.44
